===============================================================================
EXTENSION NAME : linecount
EXTENSION VERSION : 0.1.7
-------------------------------------------------------------------------------
count time : 2019-02-24 16:35:59
count workspace : /Users/imazze/Desktop/HeliosLightcontrol
total files : 67
total code lines : 4068
total comment lines : 1717
total blank lines : 932

HLC_Base/HLC_Base.ino, code is 101, comment is 54, blank is 26.
HLC_Base/HLC_Base_Control.ino, code is 153, comment is 34, blank is 19.
HLC_Base/HLC_Base_Helper.ino, code is 72, comment is 8, blank is 6.
HLC_Base/src/HLC_Global/Debug.cpp, code is 43, comment is 22, blank is 8.
HLC_Base/src/HLC_Global/Debug.h, code is 19, comment is 15, blank is 4.
HLC_Base/src/HLC_Global/PackageBuffer.cpp, code is 80, comment is 30, blank is 14.
HLC_Base/src/HLC_Global/PackageBuffer.h, code is 23, comment is 18, blank is 10.
HLC_Base/src/HLC_Global/TimerOne.cpp, code is 76, comment is 36, blank is 12.
HLC_Base/src/HLC_Global/TimerOne.h, code is 24, comment is 16, blank is 7.
HLC_Base/src/HLC_Global/WirelessConnection.cpp, code is 39, comment is 38, blank is 16.
HLC_Base/src/HLC_Global/WirelessConnection.h, code is 52, comment is 24, blank is 14.
HLC_Lamp/HLC_Arduino.ino, code is 28, comment is 8, blank is 24.
HLC_Lamp/HLC_Lamp.ino, code is 166, comment is 64, blank is 95.
HLC_Lamp/src/HLC_Global/Debug.cpp, code is 43, comment is 12, blank is 8.
HLC_Lamp/src/HLC_Global/Debug.h, code is 16, comment is 12, blank is 2.
HLC_Lamp/src/HLC_Global/PackageBuffer.cpp, code is 28, comment is 12, blank is 8.
HLC_Lamp/src/HLC_Global/PackageBuffer.h, code is 13, comment is 13, blank is 8.
HLC_Lamp/src/HLC_Global/TimerOne.cpp, code is 76, comment is 35, blank is 12.
HLC_Lamp/src/HLC_Global/TimerOne.h, code is 21, comment is 15, blank is 5.
HLC_Lamp/src/HLC_Global/WirelessConnection.cpp, code is 39, comment is 26, blank is 25.
HLC_Lamp/src/HLC_Global/WirelessConnection.h, code is 47, comment is 15, blank is 13.
HLC_LED_Matrix/HLC_LED_Matrix.ino, code is 138, comment is 50, blank is 24.
HLC_LED_Matrix/src/FFT/arduinoFFT.cpp, code is 356, comment is 64, blank is 21.
HLC_LED_Matrix/src/FFT/arduinoFFT.h, code is 63, comment is 8, blank is 7.
HLC_LED_Matrix/src/FFT/defs.h, code is 38, comment is 43, blank is 11.
HLC_LED_Matrix/src/FFT/types.h, code is 43, comment is 16, blank is 10.
HLC_LED_Matrix/src/HLC_Global/Debug.cpp, code is 43, comment is 22, blank is 8.
HLC_LED_Matrix/src/HLC_Global/Debug.h, code is 19, comment is 15, blank is 4.
HLC_LED_Matrix/src/HLC_Global/PackageBuffer.cpp, code is 80, comment is 30, blank is 14.
HLC_LED_Matrix/src/HLC_Global/PackageBuffer.h, code is 23, comment is 18, blank is 10.
HLC_LED_Matrix/src/HLC_Global/TimerOne.cpp, code is 76, comment is 36, blank is 12.
HLC_LED_Matrix/src/HLC_Global/TimerOne.h, code is 24, comment is 16, blank is 7.
HLC_LED_Matrix/src/HLC_Global/WirelessConnection.cpp, code is 39, comment is 38, blank is 16.
HLC_LED_Matrix/src/HLC_Global/WirelessConnection.h, code is 52, comment is 24, blank is 14.
HLC_LED_Matrix/src/HSV_RGB.c, code is 58, comment is 17, blank is 4.
HLC_LED_Matrix/src/LedMatrix.cpp, code is 160, comment is 50, blank is 42.
HLC_LED_Matrix/src/LedMatrix.h, code is 41, comment is 24, blank is 13.
HLC_Sensor/HLC_Sensor.ino, code is 101, comment is 64, blank is 26.
HLC_Sensor/src/Adafruit_TCS34725.cpp, code is 181, comment is 113, blank is 42.
HLC_Sensor/src/Adafruit_TCS34725.h, code is 97, comment is 35, blank is 12.
HLC_Sensor/src/HLC_Global/TimerOne.cpp, code is 76, comment is 35, blank is 12.
HLC_Sensor/src/HLC_Global/TimerOne.h, code is 21, comment is 15, blank is 5.
HLC_Sensor/src/HLC_Global/WirelessConnection.cpp, code is 39, comment is 26, blank is 25.
HLC_Sensor/src/HLC_Global/WirelessConnection.h, code is 47, comment is 15, blank is 14.
HLC_Sensor/src/Sensoring.cpp, code is 106, comment is 34, blank is 11.
HLC_Sensor/src/Sensoring.h, code is 42, comment is 34, blank is 7.
HLC_Web/HLC_Web.ino, code is 149, comment is 56, blank is 31.
HLC_Web/index.html, code is 6, comment is 0, blank is 0.
README.md, code is 34, comment is 7, blank is 1.
tmp/communication_Ideas.txt, code is 62, comment is 45, blank is 10.
tmp/ESP DEMO/ESP_WebServerAP.ino, code is 128, comment is 35, blank is 25.
tmp/HLC_Example/HLC_Example.ino, code is 25, comment is 10, blank is 11.
tmp/HLC_Example/src/HLC_Global/Debug.cpp, code is 15, comment is 0, blank is 4.
tmp/HLC_Example/src/HLC_Global/Debug.h, code is 10, comment is 0, blank is 1.
tmp/HLC_Example/src/HLC_Global/TimerOne.cpp, code is 76, comment is 23, blank is 12.
tmp/HLC_Example/src/HLC_Global/TimerOne.h, code is 21, comment is 3, blank is 5.
tmp/HLC_Example/src/HLC_Global/WirelessConnection.cpp, code is 44, comment is 15, blank is 11.
tmp/HLC_Example/src/HLC_Global/WirelessConnection.h, code is 34, comment is 2, blank is 11.
tmp/HLC_Sender/HLC_Sender.ino, code is 59, comment is 31, blank is 23.
tmp/HLC_Sender/src/HLC_Global/Debug.cpp, code is 43, comment is 12, blank is 8.
tmp/HLC_Sender/src/HLC_Global/Debug.h, code is 16, comment is 12, blank is 2.
tmp/HLC_Sender/src/HLC_Global/PackageBuffer.cpp, code is 28, comment is 12, blank is 7.
tmp/HLC_Sender/src/HLC_Global/PackageBuffer.h, code is 13, comment is 13, blank is 8.
